,Measurement,Temperature,Mass,Size,Time Constraint,Non-labelData,LabelData,Data,Overall
0,0.858268,0,0.903226,0.619048,0.777778,0,0.75,0.822581,0.86758
1,0.8,0,0.90625,0.735294,1,0.5,0.884615,0.807018,0.892157
2,0.887097,0,0.893939,0.764706,1,0.842105,0.730769,0.827586,0.813333
3,0.818182,0,0.916667,0.9,1,0.652174,0.833333,0.758621,0.834783
4,0.875969,0,0.910714,0.658537,1,0.65,0.827586,0.886792,0.927835
5,0.782313,0,0.897959,0.678571,1,0.736842,0.931034,0.836735,0.892157
6,0.824818,0,0.942857,0.636364,1,0.25,0.862069,0.704225,0.877358
7,0.851562,0,0.953488,0.658537,0.933333,0.333333,0.888889,0.807692,0.834101
8,0.805556,0,0.901961,0.777778,1,0.666667,0.931034,0.803279,0.853982
9,0.810219,0.5,0.898305,0.9,1,0.772727,0.809524,0.827586,0.86036
10,0.849206,0,0.9,0.851852,0.875,0.866667,0.84375,0.709091,0.838565
11,0.884298,0,0.955556,0.558824,1,0,0.866667,0.793651,0.817427
12,0.853846,0,0.852941,0.714286,1,0.6,0.888889,0.731343,0.859091
13,0.821918,0,0.912281,0.717949,1,0.882353,0.884615,0.789474,0.930233
14,0.858268,1,0.87234,0.931034,1,0.666667,0.909091,0.75,0.833333
15,0.858209,0,0.876923,0.75,1,0.722222,0.7,0.779412,0.820513
16,0.817518,1,0.923077,0.558824,1,0.875,0.866667,0.88,0.852679
17,0.8125,0,0.95,0.787879,1,0.75,0.791667,0.826087,0.808333
18,0.784722,0,0.893617,0.8125,1,0,0.814815,0.757576,0.842105
19,0.843284,1,0.901639,0.75,1,0.608696,0.846154,0.803922,0.8107
20,0.77305,0,0.589474,0.722222,0.823529,0,0.375,0.69863,0.852018
21,0.794326,0,0.610526,0.694444,0.823529,0.333333,0.410714,0.630137,0.816143
22,0.780142,0,0.621053,0.722222,0.823529,0.888889,0.339286,0.657534,0.820628
23,0.829787,0,0.463158,0.75,0.823529,0.833333,0.357143,0.60274,0.860987
24,0.801418,0,0.536842,0.75,0.823529,0.722222,0.428571,0.643836,0.807175
25,0.815603,0,0.463158,0.527778,0.823529,0.777778,0.482143,0.561644,0.816143
26,0.801418,0,0.347368,0.583333,0.823529,0.111111,0.446429,0.684932,0.834081
27,0.77305,0,0.431579,0.75,0.823529,0.833333,0.285714,0.575342,0.811659
28,0.822695,0,0.484211,0.777778,0.823529,0.777778,0.482143,0.671233,0.865471
29,0.787234,0.285714,0.557895,0.75,0.823529,0.944444,0.607143,0.657534,0.856502
30,0.758865,0,0.568421,0.638889,0.823529,0.722222,0.482143,0.534247,0.838565
31,0.758865,0,0.452632,0.527778,0.588235,0,0.464286,0.684932,0.883408
32,0.787234,0,0.610526,0.555556,0.764706,0.333333,0.571429,0.671233,0.847534
33,0.851064,0,0.547368,0.777778,0.764706,0.833333,0.410714,0.616438,0.717489
34,0.77305,0.142857,0.431579,0.75,0.823529,0.444444,0.535714,0.69863,0.874439
35,0.815603,0,0.6,0.666667,0.470588,0.722222,0.5,0.726027,0.860987
36,0.794326,0.142857,0.505263,0.527778,0.823529,0.777778,0.464286,0.60274,0.856502
37,0.829787,0,0.4,0.722222,0.764706,0.833333,0.339286,0.520548,0.869955
38,0.801418,0,0.442105,0.722222,0.823529,0,0.392857,0.684932,0.860987
39,0.801418,0.142857,0.578947,0.583333,0.823529,0.777778,0.589286,0.561644,0.883408
40,0.813433,0,0.713376,0.666667,0.8,0,0.5,0.755556,0.859729
41,0.797153,0,0.72956,0.714286,0.903226,0.4,0.560976,0.707692,0.852459
42,0.830189,0,0.732919,0.742857,0.903226,0.864865,0.463415,0.732824,0.816964
43,0.823944,0,0.615385,0.818182,0.903226,0.731707,0.5,0.671756,0.847682
44,0.837037,0,0.675497,0.701299,0.903226,0.684211,0.564706,0.746032,0.863309
45,0.798611,0,0.611111,0.59375,0.903226,0.756757,0.635294,0.672131,0.852459
46,0.81295,0,0.507692,0.608696,0.903226,0.153846,0.588235,0.694444,0.855172
47,0.810409,0,0.594203,0.701299,0.875,0.47619,0.432432,0.672,0.822727
48,0.814035,0,0.630137,0.777778,0.903226,0.717949,0.635294,0.731343,0.859688
49,0.798561,0.363636,0.688312,0.818182,0.903226,0.85,0.693878,0.732824,0.858427
50,0.801498,0,0.696774,0.730159,0.848485,0.787879,0.613636,0.609375,0.838565
51,0.816794,0,0.614286,0.542857,0.740741,0,0.604651,0.735294,0.849138
52,0.819188,0,0.711656,0.625,0.866667,0.428571,0.695652,0.7,0.853273
53,0.836237,0,0.684211,0.746667,0.866667,0.857143,0.560976,0.692308,0.810127
54,0.813433,0.25,0.577465,0.830769,0.903226,0.533333,0.674157,0.723404,0.853392
55,0.836364,0,0.7125,0.705882,0.64,0.722222,0.583333,0.751773,0.840263
56,0.805755,0.25,0.653061,0.542857,0.903226,0.823529,0.604651,0.715447,0.854586
57,0.821053,0,0.562963,0.753623,0.866667,0.789474,0.475,0.638655,0.838013
58,0.792982,0,0.591549,0.764706,0.903226,0,0.53012,0.719424,0.851441
59,0.821818,0.25,0.705128,0.65625,0.903226,0.682927,0.694737,0.66129,0.845494
Aveg Precision,0.83488765,0.175,0.908187,0.73809915,0.97930555,0.56877265,0.8430584,0.79513355,0.85333125
