,Measurement,Temperature,Mass,Size,Time Constraint,Non-labelData,LabelData,Data,Overall
0,0.835616,1,0.921875,0,1,0.823529,0.928571,0.833333,0.892683
1,0.805369,1,0.944444,0.634615,1,0.733333,0.892857,0.836735,0.868778
2,0.845528,1,0.866667,0.507463,1,0.777778,0.8125,0.830986,0.855895
3,0.794702,0.65,0.904762,0.777778,1,0.636364,0.884615,0.914894,0.878924
4,0.827338,1,0.919355,0.857143,1,0.727273,0.733333,0.758621,0.885845
5,0.867647,1,0.843137,0.823529,1,0.652174,0.852941,0.818182,0.892683
6,0.866142,1,0.857143,0.736842,1,0.652174,0.774194,0.872727,0.864486
7,0.813793,1,0.925,0.875,1,0.565217,0.870968,0.843137,0.902439
8,0.85,1,0.959184,0.84375,1,0.823529,0.777778,0.893617,0.843882
9,0.834483,0.923077,0.910714,0.612245,1,0.894737,0.878788,0.909091,0.849372
10,0.855072,1,0.921053,0.8,0.777778,0.777778,0.833333,0.844828,0.888889
11,0.809211,1,0.939394,0.805556,0.933333,0.85,0.888889,0.781818,0.886878
12,0.698864,1,0.8,0.634146,1,0.576923,0.875,0.851852,0.838428
13,0.825175,1,0.963636,0.896552,1,0.75,0.965517,0.843137,0.876147
14,0.860294,1,0.9375,0.604167,1,0.714286,0.866667,0.888889,0.886256
15,0.858209,1,0.944444,0.704545,1,0.833333,0.958333,0.947368,0.879464
16,0.864286,1,0.927273,0.733333,1,0.68,0.848485,0.836066,0.86087
17,0.833333,1,0.916667,0.666667,1,0.75,0.807692,0.893617,0.857778
18,0.860294,1,0.873016,0.763158,1,0.7,0.875,0.857143,0.87156
19,0.771812,1,0.913793,0.566038,1,0.857143,0.777778,0.777778,0.852321
20,0.865248,0.785714,0.621053,0,0.647059,0.777778,0.464286,0.684932,0.820628
21,0.851064,0.857143,0.357895,0.916667,0.823529,0.611111,0.446429,0.561644,0.860987
22,0.737589,0.857143,0.547368,0.944444,0.647059,0.777778,0.464286,0.808219,0.878924
23,0.851064,0.928571,0.4,0.777778,0.823529,0.777778,0.410714,0.589041,0.878924
24,0.815603,0.714286,0.6,0.833333,0.705882,0.888889,0.589286,0.60274,0.869955
25,0.836879,0.857143,0.452632,0.777778,0.647059,0.833333,0.517857,0.616438,0.820628
26,0.780142,0.785714,0.568421,0.777778,0.823529,0.833333,0.428571,0.657534,0.829596
27,0.836879,0.785714,0.389474,0.777778,0.705882,0.722222,0.482143,0.589041,0.829596
28,0.843972,0.785714,0.494737,0.75,0.823529,0.777778,0.5,0.575342,0.896861
29,0.858156,0.857143,0.536842,0.833333,0.823529,0.944444,0.517857,0.547945,0.910314
30,0.836879,0.785714,0.368421,0.888889,0.823529,0.777778,0.535714,0.671233,0.860987
31,0.87234,0.785714,0.326316,0.805556,0.823529,0.944444,0.428571,0.589041,0.878924
