,Measurement,Temperature,Mass,Size,Time Constraint,Non-labelData,LabelData,Data,Overall
0,0.832215,0.923077,0.978723,0.809524,1,0.785714,0.857143,0.503597,0.823045
1,0.859155,1,0.896552,0.820513,1,0.652174,0.717391,0.916667,0.887387
2,0.806452,0.923077,0.904762,0.935484,1,0.666667,0.875,0.839286,0.888372
3,0.846667,1,0.948276,0.846154,1,0.727273,0.886364,0.779412,0.876777
4,0.851064,1,0.928571,0.767442,1,0.727273,0.961538,0.8125,0.56599
5,0.902985,0.916667,0.933333,0.75,1,0.428571,0.818182,0.92,0.818182
6,0.873134,1,0.932203,0.75,1,0.785714,0.833333,0.846154,0.878378
7,0.888889,0.928571,0.979592,0.72093,1,0.571429,0.820513,0.86,0.906542
8,0.86014,1,0.927273,0.744186,1,0.708333,0.961538,0.792453,0.902174
9,0.777778,1,0.925,0,1,0.636364,0.552239,0.904762,0.866667
10,0.805031,1,0.926471,0.571429,1,0.823529,0.453704,0.816901,0.849138
11,0.848276,1,0.919355,0.777778,0.933333,0,0.864865,0.8125,0.883721
12,0.845638,0.923077,0.952381,0.785714,1,0.777778,0.818182,0.860465,0.986111
13,0.857143,1,0.946429,0,1,0.789474,0.846154,0.813559,0.902439
14,0.835526,1,0.909091,0.804878,1,0.842105,0.96,0.846154,0.895735
15,0.836735,1,0.907692,0.852941,1,0.541667,0.933333,0.961538,0.824701
16,0.890511,1,0.964912,0.810811,1,0.6875,0.846154,0.779412,0.817021
17,0.81457,1,0.912281,0.73913,1,0.733333,0.861111,0.842105,0.865801
18,0.812903,1,0.884615,0.861111,1,0.518519,0.882353,0.862745,0.865471
19,0.871429,0.909091,0.981132,0.693878,1,0.6,0.755102,0.846154,0.56599
20,0.879433,0.857143,0.484211,0.944444,0.823529,0.611111,0.535714,0.958904,0.896861
21,0.865248,0.785714,0.547368,0.888889,0.764706,0.833333,0.589286,0.60274,0.883408
22,0.886525,0.857143,0.6,0.805556,0.647059,0.777778,0.625,0.643836,0.856502
23,0.900709,0.785714,0.578947,0.916667,0.823529,0.888889,0.696429,0.726027,0.829596
24,0.851064,0.785714,0.547368,0.916667,0.764706,0.444444,0.446429,0.534247,1
25,0.858156,0.785714,0.589474,0.916667,0.529412,0.166667,0.642857,0.630137,0.928251
26,0.829787,0.785714,0.578947,0.916667,0.588235,0.611111,0.535714,0.60274,0.874439
27,0.851064,0.928571,0.505263,0.861111,0.823529,0.888889,0.571429,0.589041,0.869955
28,0.87234,0.785714,0.536842,0.888889,0.823529,0.944444,0.446429,0.575342,0.744395
29,0.893617,0.785714,0.389474,0,0.764706,0.388889,0.660714,0.780822,0.874439
30,0.907801,0.785714,0.663158,0.888889,0.823529,0.777778,0.875,0.794521,0.883408
31,0.87234,0.785714,0.6,0.777778,0.823529,0,0.571429,0.712329,0.852018
32,0.893617,0.857143,0.421053,0.916667,0.823529,0.777778,0.482143,0.506849,0.636771
33,0.851064,0.428571,0.557895,0,0.588235,0.833333,0.589286,0.657534,0.829596
34,0.900709,0.785714,0.526316,0.916667,0.823529,0.888889,0.428571,0.60274,0.847534
35,0.87234,0.857143,0.621053,0.805556,0.647059,0.722222,0.5,0.342466,0.928251
36,0.865248,0.785714,0.578947,0.833333,0.764706,0.611111,0.589286,0.726027,0.860987
37,0.87234,0.785714,0.547368,0.944444,0.823529,0.611111,0.553571,0.657534,0.896861
38,0.893617,0.785714,0.484211,0.861111,0.823529,0.777778,0.535714,0.60274,0.865471
39,0.865248,0.714286,0.547368,0.944444,0.647059,0.666667,0.660714,0.60274,1
40,0.855172,0.888889,0.647887,0.871795,0.903226,0.6875,0.659341,0.660377,0.858369
41,0.862191,0.88,0.679739,0.853333,0.866667,0.731707,0.647059,0.727273,0.885393
42,0.844595,0.888889,0.721519,0.865672,0.785714,0.717949,0.729167,0.728682,0.872146
43,0.872852,0.88,0.718954,0.88,0.903226,0.8,0.78,0.751773,0.852535
44,0.851064,0.88,0.688742,0.835443,0.866667,0.551724,0.609756,0.644628,0.722853
45,0.88,0.846154,0.722581,0.825,0.692308,0.24,0.72,0.747967,0.869748
46,0.850909,0.88,0.714286,0.825,0.740741,0.6875,0.652174,0.704,0.876404
47,0.869565,0.928571,0.666667,0.78481,0.903226,0.695652,0.673684,0.699187,0.887872
48,0.866197,0.88,0.68,0.810127,0.903226,0.809524,0.609756,0.666667,0.815725
49,0.831683,0.88,0.548148,0,0.866667,0.482759,0.601626,0.838235,0.870536
50,0.853333,0.88,0.773006,0.695652,0.903226,0.8,0.597561,0.805556,0.865934
51,0.86014,0.88,0.726115,0.777778,0.875,0,0.688172,0.759124,0.86758
52,0.868966,0.888889,0.583942,0.846154,0.903226,0.777778,0.606742,0.637931,0.773842
53,0.854093,0.6,0.701987,0,0.740741,0.810811,0.694737,0.727273,0.864486
54,0.866894,0.88,0.666667,0.857143,0.903226,0.864865,0.592593,0.704,0.870968
55,0.854167,0.923077,0.7375,0.828571,0.785714,0.619048,0.651163,0.505051,0.873418
56,0.877698,0.88,0.723684,0.821918,0.866667,0.647059,0.694737,0.751773,0.838428
57,0.842466,0.88,0.684211,0.829268,0.903226,0.666667,0.673913,0.738462,0.881057
58,0.851351,0.88,0.62585,0.861111,0.903226,0.622222,0.666667,0.709677,0.865471
59,0.868327,0.8,0.702703,0.8,0.785714,0.631579,0.704762,0.704,0.722853
Aveg Precision,0.84581205,0.976178,0.9329322,0.70209515,0.99666665,0.65017085,0.82520995,0.8308182,0.8434821
StandDev,0.031908009,0.037495703,0.027947351,0.251239592,0.014907194,0.18820823,0.127842202,0.090764799,0.102475762
Aveg Recall,0.87411335,0.7857141,0.54526315,0.7972223,0.74705865,0.6611111,0.57678575,0.6424658,0.86793715
StandDev,0.020435627,0.095550927,0.065032099,0.276913871,0.099351216,0.247731719,0.102842905,0.125069194,0.07843623
Aveg F-score,0.85908315,0.86622345,0.6857094,0.74343875,0.8500817,0.6422172,0.6626805,0.7105818,0.8467809
StandDev,0.012384486,0.067512766,0.053110308,0.257542378,0.068199776,0.205754539,0.050429051,0.069093981,0.049715868
