,Measurement,Temperature,Mass,Size,Time Constraint,Non-labelData,LabelData,Data,Overall
0,0.876404,1,0.935484,0.84375,1,0.235294,0.826087,0.603774,0.887574
1,0.847619,1,0.875,0.783784,0.875,0.666667,0.714286,0.673913,0.864407
2,0.818182,1,0.9,0.787879,0.875,0.777778,0.875,0.722222,0.875706
3,0.901099,1,0.9375,0.761905,0.875,0.666667,0.857143,0.5625,0.807512
4,0.902439,1,0.875,0.731707,1,0.545455,0.8125,0.648649,0.847291
5,0.89011,1,0.83871,0.605263,1,0.6,0.695652,0.764706,0.864583
6,0.808511,1,0.933333,0.793103,0.875,0.857143,0.76,0.702128,0.848168
7,0.834862,1,0.945946,0.828571,1,0.545455,0.944444,0.717391,0.837321
8,0.91358,0.5,0.923077,0.780488,1,0.571429,0.833333,0.666667,0.896552
9,0.888889,1,1,0.828571,1,0.411765,0.933333,0.7,0.808889
10,0.879121,1,0.883721,0.536585,1,0.666667,0.869565,0.727273,0.823529
11,0.83871,1,0.870968,0.956522,1,0.666667,0.826087,0.673077,0.816964
12,0.87234,1,0.954545,0.74359,0.875,0.75,0.791667,0.647059,0.907285
13,0.82,1,0.961538,0.636364,0.875,0.666667,0.882353,0.676471,0.92029
14,0.854167,1,1,0.857143,0.875,0.5625,0.722222,0.666667,0.852792
15,0.792793,1,0.620253,0.764706,1,0.636364,0.842105,0.604651,0.821101
16,0.836207,1,0.871795,0.83871,0.875,0.7,0.916667,0.75,0.923077
17,0.809091,1,0.904762,0.6,0.888889,0.727273,0.866667,0.708333,0.880435
18,0.848485,1,0.870968,0.818182,0.888889,0.625,0.75,0.710526,0.78481
19,0.906977,0.833333,0.872727,0.673913,0.875,0.583333,0.85,0.653061,0.839806
20,0.553191,0.071429,0.305263,0.75,0.647059,0.444444,0.339286,0.438356,0.672646
21,0.631206,0.357143,0.073684,0.805556,0.411765,0.333333,0.178571,0.424658,0.686099
22,0.574468,0.071429,0.284211,0.722222,0.411765,0.388889,0.25,0.356164,0.695067
23,0.58156,0.071429,0.315789,0.444444,0.411765,0.111111,0.321429,0.123288,0.7713
24,0.524823,0.142857,0.221053,0.833333,0.411765,0.333333,0.232143,0.328767,0.7713
25,0.574468,0.214286,0.273684,0.638889,0.411765,0.333333,0.285714,0.356164,0.744395
26,0.539007,0.428571,0.294737,0.638889,0.411765,0.333333,0.339286,0.452055,0.726457
27,0.64539,0.142857,0.368421,0.805556,0.411765,0.333333,0.303571,0.452055,0.784753
28,0.524823,0.071429,0.126316,0.888889,0.411765,0.444444,0.267857,0.438356,0.58296
29,0.567376,0.142857,0.115789,0.805556,0.470588,0.388889,0.25,0.287671,0.816143
30,0.567376,0.285714,0.4,0.611111,0.411765,0.333333,0.357143,0.438356,0.816143
31,0.553191,0.214286,0.284211,0.611111,0.470588,0.333333,0.339286,0.479452,0.820628
32,0.58156,0.071429,0.221053,0.805556,0.411765,0.333333,0.339286,0.452055,0.61435
33,0.58156,0.142857,0.263158,0.777778,0.411765,0.333333,0.267857,0.315068,0.569507
34,0.58156,0.357143,0.2,0.833333,0.411765,0.5,0.232143,0.520548,0.753363
35,0.624113,0.357143,0.515789,0.722222,0.411765,0.388889,0.285714,0.356164,0.802691
36,0.687943,0.285714,0.357895,0.722222,0.411765,0.388889,0.196429,0.041096,0.591928
37,0.631206,0.142857,0.2,0.833333,0.470588,0.444444,0.232143,0.465753,0.726457
38,0.595745,0.142857,0.284211,0.75,0.470588,0.277778,0.321429,0.369863,0.834081
39,0.553191,0.357143,0.505263,0.861111,0.411765,0.388889,0.303571,0.438356,0.775785
40,0.678261,0.133333,0.460317,0.794118,0.785714,0.307692,0.481013,0.507937,0.765306
41,0.723577,0.526316,0.135922,0.794521,0.56,0.444444,0.285714,0.521008,0.765
42,0.675,0.133333,0.432,0.753623,0.56,0.518519,0.388889,0.477064,0.775
43,0.706897,0.133333,0.472441,0.561404,0.56,0.190476,0.467532,0.202247,0.788991
44,0.663677,0.25,0.352941,0.779221,0.583333,0.413793,0.361111,0.436364,0.807512
45,0.698276,0.352941,0.412698,0.621622,0.583333,0.428571,0.405063,0.485981,0.8
46,0.646809,0.6,0.448,0.707692,0.56,0.48,0.469136,0.55,0.782609
47,0.728,0.25,0.530303,0.816901,0.583333,0.413793,0.459459,0.554622,0.810185
48,0.666667,0.125,0.222222,0.831169,0.583333,0.5,0.405405,0.528926,0.706522
49,0.692641,0.25,0.207547,0.816901,0.64,0.4,0.394366,0.407767,0.8125
50,0.689655,0.444444,0.550725,0.571429,0.583333,0.444444,0.506329,0.547009,0.81982
51,0.666667,0.352941,0.428571,0.745763,0.64,0.444444,0.481013,0.56,0.818792
52,0.697872,0.133333,0.358974,0.773333,0.56,0.461538,0.475,0.532258,0.73262
53,0.680498,0.25,0.413223,0.7,0.56,0.444444,0.410959,0.429907,0.703601
54,0.691983,0.526316,0.333333,0.84507,0.56,0.529412,0.351351,0.584615,0.8
55,0.698413,0.526316,0.563218,0.742857,0.583333,0.482759,0.426667,0.448276,0.811791
56,0.754864,0.444444,0.507463,0.776119,0.56,0.5,0.323529,0.077922,0.721311
57,0.709163,0.25,0.327586,0.697674,0.615385,0.551724,0.366197,0.561983,0.796069
58,0.7,0.25,0.428571,0.782609,0.615385,0.384615,0.45,0.486486,0.808696
59,0.687225,0.5,0.64,0.756098,0.56,0.466667,0.447368,0.52459,0.806527
